"Return back to book","Rikthehu tek libri"
"Featured Articles","Artikuj të përzgjedhur"
"Please type the letters and numbers below", "Ju lutemi shkruani gërmat dhe numrat poshtë"
"&larr; Previous","&larr; E mëparshme"
"Next &rarr;","Tjetra &rarr;"
"Create an Account","Regjistrohu"
"Sort By","Radhit sipas"
"Register","Regjistrohu"
"Sign Up","Regjistrohu"
"Log in","Hyr"
"        Log In    ","Hyr"
"Or", "Ose"
"Look Inside","Shih në brendësi"
"Create New Customer Account","Krijo llogari të re si klient"
"Sign-in Information","Informacioni Hyrës"
"First Name","Emri"
"Last Name","Mbiemri"
"Sign Up for Newsletter","Rregjistrohu për njoftimet"
"Password","Fjalëkalimi"
"Password Strength","Vështirësia e Fjalëkalimit"
"Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.", "Kjo fushe duhet të ketë 8 ose më shumë simbole. Hapësirat nuk merren parasysh"
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Kjo fushe duhet të ketë 3 karaktere të ndryshme. Karakteret duhet të jene: Shkronjë e madhe, Shkronjë e vogël, Numër, Karakter Special"
"No Password","Nuk ka Fjalëkalim"
"Weak","e dobët"
"January", "Janar"
"February", "Shkurt"
"March", "Mars"
"April", "Prill"
"May", "Maj"
"June", "Qershor"
"July", "Korrik"
"August", "Gusht"
"September", "Shtator"
"October", "Tetor"
"November", "Nëntor"
"December", "Dhjetor"
"Mediuam", "Mesatar"
"Very Strong","shume e fortë"
"Confirm Password", "Konfirmo fjalëkalimin"
"Order Summary","Totali i shportës"
"Item in Cart","Artikull në shportë"
"Shipping Methods","Mënyra e transportit"
"Proceed to Checkout","Bli Tani"
"Estimate Shipping and Tax","Llogarit Postën dhe Taksën"
"We can't find posts matching the selection.","Ne nuk mund të gjejmë postime që përputhen me zgjedhjen ."
"View more","Lexo më shumë"
"Related Posts","Postimet e lidhura"
"Related Products","Produkte të ngjashme "
"Add to Cart","Shto në shportë"
"Adding","Duke u shtuar"
"In stock","Në stok"
"Out of stock","Jashtë stokut"
Archive,Arkiv
"Archive %s","Arkiva %s"
Categories,Kategoritë
"Recent Posts","Postimi i fundit"
"RSS Feed","Burimi RSS"
"You're reviewing:","Po shkruani për:"
"Your Rating","Vlerësimi yt"
"Nickname", "Emri"
"Summary", "Përmbledhje"
"Review", "Vlerësimi"
"Submit Review","Dërgo Vlerësimin"
Search,Kerko
"Search posts here...","Kërko postime këtu..."
None,Asnjë
Quantity,Sasia
"Choose a selection...","Zgjidh një përzgjedhje..."
"Buy Now","Bli tani"
"Comming soon","Së shpejti"
"Compare Products","Produktet krahasuese"
Compare,Krahaso
"We can't find products matching the selection.","Ne nuk mund të gjejmë postime që përputhen me zgjedhjen."
"Ends In:","Mbaron në:"
"Day(s), ","Dita, "
Qty,Qty
"Learn More","Mëso me shume"
"Loading ...","Duke u ngarkuar..."
"Load More ...","Shfaq më shumë..."
"We found other products you might like!","Ne gjetëm produkte të tjera të cilat mund të të pëlqejnë!"
"More Choices:","Më shum zgjedhje:"
"New Products","Produkte të reja"
"Check items to add to the cart or","Kontrolloni artikujt për të shtuar në karrocë ose"
"select all","Përzgjidhi të gjitha"
"Regular Price","Cmimi i rregullt"
"Special Price","Cmimi Special"
"Offer Ends In:","Oferta mbaron me:"
Days,Ditët
Hours,Orët
Minutes,Minutat
Seconds,Sekondat
"Previous Product","Produkti i mëparshëm"
"Next Product","Produkti tjetër"
Availability,Disponueshmëri
Availability:,Disponueshmëri:
"Your search returned no results.","Kërkimi juaj nuk dha asnjë rezultat."
"Update Cart","Azhurno shportën"
Item,Artikull
Price,Cmimi
"See price before order confirmation.","Shiko cmimin përpara konfirmimit të porosisë."
"What's this?","Cfarë është kjo?"
Subtotal,Nëntotali
"Order Total", "Totali"
"Shipping Address", "Adresa e porosisë"
Cart,Karta
Contact,Kontakt
Details,Detajet
"* Required Fields","* Fushat e kërkuara"
Name,Emri
Email,Email
"What’s on your mind?","Çfarë ke në mendje?"
Submit,Dërgo
Currency,Monedhë
"Grouped product items","Artikujt të produkteve të grupuara"
"Product Name","Emri i produktit"
"No options of this product are available.","Nuk ka mundësi për këtë produkt."
"Now Shopping by","Duke blerë nga"
Previous,I mëparshëm
Remove,Hiq
"Remove This Item","Hiq këtë artikull"
"Shop By","Bli nga"
"Clear All","Fshij të gjitha"
"Shopping Options","Opsionet e të blerit"
"Please select a shipping address for applicable items.","Ju lutem zgjidhni një adresë transporti për artikujt e zbatueshëm."
Product,Produkt
"Send To","Dërgo tek"
"A shipping selection is not applicable.","Një përzgjedhje transporti nuk është e zbatueshme."
Actions,Veprimet
"Remove Item","Hiq artikullin"
"Remove item","Hiq artikullin"
"Go to Shipping Information","Shkoni te informacioni i transportit"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Shkruani një adresë të re"
"Back to Shopping Cart","Shko prapa në shportën e blerjeve"
"Enter your email address","Shkruj adresën tënde të re"
"Sign Up for Our Newsletter:","Regjistrohuni në gazetën tonë:"
Subscribe,Regjistrohu
"Email Address","Adresa Email"
Go!,Shko!
Go,Shko
"Don't show this popup again","Mos e shfaq këtë përsëri"
Search...,Kërko një libër të mrekullueshëm...
Language,Gjuha
"Select Store","Zgjidh dyqanin"
"Your Store","Dyqani yt"
"Share Wish List","Shpërndaj listën e dëshirave"
"Add All to Cart","Shtoj të gjitha në shportë"
"Update Wish List","Përditëso listën e dëshirave"
"Shop by","Bli nga"
"Load More","Ngarko më shumë"
"Contact Us","Na kontaktoni"
Filter,Filter
"Toggle Nav","Toggle Nav"
links,Lidhje
Links,Lidhje
Password,Password
"Sign In","Hyr"
"Forgot Your Password?","Harruat fjalëkalimin tuaj?"
"My Cart","Karta ime"
Close,Mbyll
item,artikull
items,artikuj
"Go to Checkout","Shkoni te arka"
"Recently added item(s)","Artikull(j)i sapo shtuar"
"You have no items in your shopping cart.","Ti nuk ke asnjë artikull në shportën tënde."
"View and edit cart","Shiko dhe modifiko shportën"
"See Details","Shiko detajet"
"Options Details","Detaje te opsioneve"
Update,Përditëso
Edit,Modifiko
"Cart Subtotal","Nëntotali i shportës"
"Welcome to %store_name","Mirëseerdhe %store_name"
"%name,","%name,"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
Email:,Email:
Password:,Fjalëkalimi:
"Password you set when creating account","Fjalëkalimi që vendosët kur krijuat llogarinë"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Harruat fjalëkalimin e llogarisë? Kliko <a href=""%reset_url"">këtu</a> ta rikthesh atë."
"When you sign in to your account, you will be able to:","Kur të hyni në llogarinë tuaj,ju do të jeni në gjëndje të:"
"Quick Checkout","Kontroll i shpejtë"
"Order Status","Statusi i porosisë"
"Check the status of orders","Kontrollo statusin e porosisë"
"Manage Addresses","Menaxhoni adresat"
"Store alternative addresses","Ruaj adresat alternative"
"For shipping to multiple family members and friends","Për dërgimin tek anëtarët e shumtë të familjes dhe miqve"
"Order History","Porosit historinë"
"View past orders","Shiko porositë e kaluara"
Footer,Footer
"About Us","Rreth nesh"
"Customer Service","Shërbimi ndaj klientit"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Credit memo for your %store_name order"
"Thank you for your order from %store_name.","Thank you for your order from %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Your Credit Memo #%creditmemo_id for Order #%order_id"
"Billing Info","Informacione per faturen"
"Shipping Info","Informacione per transportin"
"Payment Method","Metoda e pagesës"
"Shipping Method","Metoda e transportit"
"Update to your %store_name credit memo","Update to your %store_name credit memo"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Your order #%increment_id has been updated with a status of <strong>%order_status</strong>."
"Invoice for your %store_name order","Invoice for your %store_name order"
"Your Invoice #%invoice_id for Order #%order_id","Your Invoice #%invoice_id for Order #%order_id"
"Update to your %store_name invoice","Update to your %store_name invoice"
"Your %store_name order confirmation","Your %store_name order confirmation"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Once your package ships we will send you a tracking number."
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Update to your %store_name order"
"Your %store_name order has shipped","Your %store_name order has shipped"
"Your shipping confirmation is below. Thank you again for your business.","Konfirmimi juaj i transportit eshte me poshte. Faleminderit perseri per biznesin tuaj."
"Your Shipment #%shipment_id for Order #%order_id","Your Shipment #%shipment_id for Order #%order_id"
"Update to your %store_name shipment","Update to your %store_name shipment"
Be the first to review this product, Komento i pari
Quantity, Sasia
ADD TO CART, hidh në shportë
Adding, duke shtuar
Added, u shtua
age,Mosha
page,Faqe
dimensions,Përmasat
Libra të Ngjashëm, PRODUKTE TË NGJASHME
Clear All, Hiq Filtrat
Now Shopping by, Bli Produktet nga
Cart Subtotal, Nëntotali i Shportës
Qty, Sasia
View and edit cart, Shiko dhe modifikoni Shportën
Go to Checkout, Përfundo porosinë
item, Produkt
items, Produkte
Email Address, Adresa e Email-it
"You can create an account after checkout.","Mund të krijoni një llogari pas blerjes"
"Please select a region, state or province.","Zgjidhni një rajon, shtet ose provincë."
"Are you sure you would like to remove this item from the shopping cart?","Je i/e sigurt që do ta heqësh nga shporta?"
"Please enter a valid email address (Ex: johndoe@domain.com).","Ju lutem, shkruani një adresë të vlefshme emaili (P.sh.: emri@domain.com ).",module,Magento_Ui
"Payment Method:","Mënyra e transportit:"
"Payment Method","Mënyra e transportit"
"No Payment method available.","No Payment method available."
Cancel,Anullo
"Cancel","Anullo"
"Share","Shpërnda"
Account,Llogaria
Settings,Parametrat
"Estimated Total","Vlera"
"Coupon code is not valid","Kodi i kuponit nuk është i vlefshëm"
"Continue Shopping","Vazhdo blerjen"
"View Order","Shikoni porosinë"
"You have no items in your shopping cart.","Ju nuk keni artikuj në shportën tuaj të blerjeve."
"Cart Subtotal","Nëntotali i Shportës"
item,Artikull
"Edit item","Modifiko"
"Remove item","Hiq"
items,Artikujt
"%1 Item(s)","%1 Artikuj"
Qty,Sasia
View and Edit Cart,Shiko dhe modifiko shportën
Go to Checkout,Përfundo porosinë
"You added %1 to your shopping cart.","Ju shtuat  %1 në shportën tuaj të blerjeve"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Ju shtuat në <a href=""%2"">shportë</a> %1"
Shipping,Transporti
"Shipping Address",Adresa e transportit
"Order Summary",Përmbledhje e porosisë
Item in Cart,Artikull në shportë
Items in Cart,Artikuj në shportë
"Email Address",Adresa Email
"You can create an account after checkout.","Mund të krijoni një llogari pas porosisë."
"Shipping Methods Section","Seksioni i Metodave të Transportit"
